"","Provider.State","County","WeeksofShortage_of_EP_by_County","WeeksofShortage_of_GL_by_County","WeeksofShortage_of_HS_by_County","WeeksofShortage_of_N95_by_County","WeeksofShortage_of_SM_by_County","WeeksofShortage_of_VT_by_County"
"345","IA","Marshall",1,NA,2,3,NA,NA
"346","IA","Mills",41,31,19,53,51,NA
"347","IA","Mitchell",31,5,1,53,66,NA
"348","IA","Monona",32,7,1,82,33,NA
"349","IA","Monroe",3,4,3,4,3,NA
"350","IA","Montgomery",19,NA,NA,48,18,NA
"351","IA","Muscatine",13,6,2,16,16,NA
"352","IA","Page",7,4,4,7,11,NA
"353","IA","Palo Alto",25,1,25,27,26,NA
"354","IA","Plymouth",15,11,11,14,12,NA
"355","IA","Pocahontas",1,5,NA,4,2,NA
"356","IA","Polk",185,77,68,293,210,1
"357","IA","Pottawattamie",33,6,2,64,34,NA
"358","IA","Poweshiek",4,1,NA,7,4,NA
"359","IA","Ringgold",18,18,18,18,19,NA
"360","IA","Sac",28,4,27,33,29,NA
"361","IA","Scott",34,2,2,66,26,NA
"362","IA","Sioux",2,3,3,9,3,NA
"363","IA","Story",25,2,25,43,25,NA
"364","IA","Tama",11,10,2,62,32,NA
"365","IA","Wapello",3,3,4,12,3,NA
"366","IA","Warren",28,3,27,31,27,9
"367","IA","Washington",10,2,1,31,8,NA
"368","IA","Webster",13,16,8,22,20,NA
"369","IA","Winnebago",31,4,27,39,31,NA
"370","IA","Winneshiek",10,1,1,20,19,NA
"371","IA","Woodbury",6,8,3,32,6,NA
"372","IA","Worth",1,1,1,1,1,NA
"373","IA","Wright",24,NA,24,24,24,NA
"374","ID","Ada",23,16,4,43,7,NA
"375","ID","Bannock",1,1,2,13,2,NA
"376","ID","Bonneville",57,11,8,60,52,NA
"377","ID","Boundary",30,NA,NA,33,32,NA
"378","ID","Canyon",22,8,8,41,25,2
"379","ID","Cassia",2,1,1,19,1,NA
"380","ID","Fremont",20,NA,NA,16,1,NA
"381","ID","Kootenai",14,17,8,16,11,NA
"382","ID","Lemhi",3,NA,NA,8,3,NA
"383","ID","Lincoln",3,2,3,12,2,NA
"384","ID","Madison",22,9,2,40,7,NA
"385","ID","Minidoka",1,1,1,1,2,NA
"386","ID","Nez Perce",6,2,3,23,6,NA
"387","ID","Shoshone",2,NA,1,13,1,NA
"388","ID","Twin Falls",12,3,2,23,9,NA
"389","IL","Adams",4,2,1,11,2,NA
"390","IL","Boone",2,2,2,14,2,NA
"391","IL","Bureau",1,1,1,6,1,NA
"392","IL","Calhoun",1,NA,NA,4,2,NA
"393","IL","Carroll",1,2,1,2,NA,NA
"394","IL","Cass",7,7,7,7,7,NA
"395","IL","Champaign",2,1,2,21,1,NA
"396","IL","Christian",12,6,6,4,5,NA
"397","IL","Clark",1,9,1,5,17,NA
"398","IL","Clay",8,4,NA,11,5,NA
"399","IL","Coles",5,8,3,23,4,NA
"400","IL","Cook",219,276,219,477,340,8
"401","IL","Crawford",20,25,2,29,5,NA
"402","IL","DeKalb",12,2,4,54,34,NA
"403","IL","Douglas",20,28,24,24,25,NA
"404","IL","DuPage",35,40,36,49,41,NA
"405","IL","Effingham",12,2,2,11,10,NA
"406","IL","Fayette",3,6,1,8,1,NA
"407","IL","Franklin",6,10,2,26,4,NA
"408","IL","Fulton",10,36,12,58,21,NA
"409","IL","Greene",13,13,13,13,13,NA
"410","IL","Grundy",43,1,3,42,1,NA
"411","IL","Hancock",5,3,3,9,4,NA
"412","IL","Henry",3,2,NA,18,3,NA
"413","IL","Iroquois",5,6,4,6,2,NA
"414","IL","Jackson",1,1,1,1,1,NA
"415","IL","Jefferson",3,3,3,3,5,NA
"416","IL","Jersey",3,5,1,21,7,NA
"417","IL","Kane",44,19,3,89,20,1
"418","IL","Kankakee",23,23,15,25,21,NA
"419","IL","Lake",46,57,52,182,102,NA
"420","IL","LaSalle",5,7,7,9,7,NA
"421","IL","Lawrence",15,34,16,40,34,NA
"422","IL","Livingston",3,9,2,18,2,NA
"423","IL","Logan",15,24,10,15,17,NA
"424","IL","Macon",19,6,1,31,20,NA
"425","IL","Macoupin",10,9,1,15,9,NA
"426","IL","Madison",24,26,34,75,42,NA
"427","IL","Marion",6,3,3,6,5,NA
"428","IL","Marshall",1,NA,NA,2,NA,NA
"429","IL","McDonough",30,14,10,46,31,NA
"430","IL","McHenry",2,4,4,10,24,NA
"431","IL","McLean",33,10,9,50,24,NA
"432","IL","Menard",3,7,NA,1,7,NA
"433","IL","Mercer",15,17,17,18,14,NA
"434","IL","Monroe",9,7,4,9,9,NA
"435","IL","Montgomery",24,13,12,40,24,NA
"436","IL","Morgan",23,21,23,25,24,NA
"437","IL","Moultrie",3,5,3,32,24,NA
"438","IL","Ogle",4,6,3,32,9,NA
"439","IL","Peoria",10,11,8,72,10,NA
"440","IL","Pike",2,NA,NA,1,1,NA
"441","IL","Randolph",12,NA,2,15,12,NA
"442","IL","Richland",1,NA,NA,3,1,NA
"443","IL","Rock Island",17,2,3,33,13,NA
"444","IL","Saline",1,1,1,2,2,NA
"445","IL","Sangamon",30,20,9,29,32,NA
"446","IL","Shelby",30,10,2,40,4,NA
"447","IL","St. Clair",23,31,14,85,19,1
"448","IL","Stephenson",1,NA,NA,NA,1,NA
"449","IL","Tazewell",10,8,8,30,5,NA
"450","IL","Union",3,4,4,6,5,NA
"451","IL","Vermilion",2,9,1,30,5,NA
"452","IL","Wabash",3,2,2,2,2,NA
"453","IL","Warren",42,16,1,22,13,NA
"454","IL","White",23,NA,NA,29,17,NA
"455","IL","Will",7,5,9,27,21,NA
"456","IL","Williamson",8,7,3,17,3,NA
"457","IL","Winnebago",8,16,6,81,12,NA
"458","IL","Woodford",22,17,18,63,25,NA
"459","IN","Adams",38,38,38,58,10,NA
"460","IN","Allen",86,37,51,88,81,NA
"461","IN","Bartholomew",22,2,1,26,17,NA
"462","IN","Blackford",22,NA,NA,24,24,NA
"463","IN","Cass",16,1,17,19,18,NA
"464","IN","Clay",1,7,1,3,1,NA
"465","IN","Clinton",1,1,NA,6,3,NA
"466","IN","Daviess",36,16,2,58,26,NA
"467","IN","Decatur",6,9,NA,20,NA,NA
"468","IN","DeKalb",28,23,23,43,48,NA
"469","IN","Delaware",14,1,1,15,7,NA
"470","IN","Dubois",7,22,8,52,16,NA
"471","IN","Elkhart",31,34,30,54,35,NA
"472","IN","Floyd",1,4,1,15,2,NA
"473","IN","Grant",3,1,2,40,2,NA
"474","IN","Hamilton",1,NA,NA,47,NA,NA
"475","IN","Hendricks",16,24,17,29,17,NA
"476","IN","Henry",19,6,1,26,3,NA
"477","IN","Howard",1,7,NA,23,1,NA
"478","IN","Huntington",39,39,39,51,39,NA
"479","IN","Jackson",15,1,1,21,16,NA
"480","IN","Jasper",6,6,6,6,8,NA
"481","IN","Jay",14,NA,NA,11,11,NA
"482","IN","Jefferson",1,NA,NA,NA,NA,NA
"483","IN","Jennings",2,8,3,13,4,NA
"484","IN","Johnson",1,1,1,27,NA,1
"485","IN","Knox",14,23,25,5,27,NA
"486","IN","Kosciusko",67,7,8,76,75,NA
"487","IN","LaGrange",39,26,19,42,41,NA
"488","IN","Lake",43,42,24,75,81,NA
"489","IN","LaPorte",41,NA,NA,44,52,NA
"490","IN","Madison",34,7,3,63,36,NA
"491","IN","Marion",90,67,71,152,92,2
"492","IN","Marshall",51,1,NA,59,56,NA
"493","IN","Martin",5,NA,2,1,NA,NA
"494","IN","Miami",7,11,5,7,12,NA
"495","IN","Montgomery",1,1,1,1,1,NA
"496","IN","Morgan",10,15,NA,23,18,NA
"497","IN","Ohio",1,1,1,1,1,NA
"498","IN","Porter",31,30,30,29,29,NA
"499","IN","Pulaski",2,5,2,16,2,NA
"500","IN","Putnam",7,16,1,16,NA,NA
"501","IN","Ripley",4,NA,10,23,1,NA
"502","IN","Rush",5,NA,NA,5,4,NA
"503","IN","Scott",3,3,3,3,3,NA
"504","IN","Shelby",16,4,NA,18,NA,NA
"505","IN","Spencer",43,18,2,40,46,NA
"506","IN","St. Joseph",78,21,12,110,39,NA
"507","IN","Steuben",1,6,NA,5,NA,NA
"508","IN","Sullivan",23,2,6,24,22,NA
"509","IN","Tippecanoe",2,2,2,5,2,NA
"510","IN","Tipton",5,NA,NA,5,5,NA
"511","IN","Vanderburgh",9,1,1,67,1,NA
"512","IN","Vigo",19,5,2,35,22,NA
"513","IN","Wabash",6,2,3,47,41,NA
"514","IN","Warrick",3,2,2,15,2,NA
"515","IN","Wells",1,1,1,1,1,NA
