"","Provider.State","County","WeeksofShortage_of_EP_by_County","WeeksofShortage_of_GL_by_County","WeeksofShortage_of_HS_by_County","WeeksofShortage_of_N95_by_County","WeeksofShortage_of_SM_by_County","WeeksofShortage_of_VT_by_County"
"2156","IA","Adair",NA,NA,NA,8,NA,NA
"2157","IA","Appanoose",NA,NA,NA,1,NA,NA
"2158","IA","Buena Vista",NA,NA,NA,2,NA,NA
"2159","IA","Fremont",NA,NA,NA,3,NA,NA
"2160","IA","Jefferson",NA,NA,NA,1,1,NA
"2161","IA","Lucas",NA,NA,NA,10,NA,NA
"2162","IA","Osceola",NA,NA,NA,1,NA,NA
"2163","IA","Shelby",NA,NA,NA,1,NA,NA
"2164","ID","Benewah",NA,NA,NA,1,NA,NA
"2165","ID","Bingham",NA,NA,NA,4,NA,NA
"2166","ID","Caribou",NA,NA,NA,1,NA,NA
"2167","ID","Franklin",NA,NA,NA,11,NA,NA
"2168","ID","Gem",NA,NA,NA,3,NA,NA
"2169","ID","Payette",NA,NA,NA,3,NA,NA
"2170","IL","Clinton",NA,NA,NA,1,NA,NA
"2171","IL","Henderson",NA,NA,NA,3,NA,NA
"2172","IL","Kendall",NA,NA,NA,14,NA,NA
"2173","IL","Lee",NA,NA,NA,9,NA,NA
"2174","IL","Stark",NA,NA,NA,17,1,NA
"2175","IL","Wayne",NA,NA,NA,12,NA,NA
"2176","IN","Boone",NA,NA,NA,3,1,NA
"2177","IN","Brown",NA,NA,NA,8,NA,NA
"2178","IN","Crawford",NA,NA,NA,1,NA,NA
"2179","IN","Fayette",NA,NA,NA,3,NA,NA
"2180","IN","Lawrence",NA,NA,NA,3,8,NA
"2181","IN","Monroe",NA,NA,NA,12,NA,NA
"2182","IN","Newton",NA,NA,NA,21,NA,NA
"2183","IN","Orange",NA,NA,NA,11,NA,NA
"2184","IN","Starke",NA,NA,NA,1,NA,NA
"2185","KS","Barber",NA,NA,NA,4,NA,NA
"2186","KS","Edwards",NA,NA,NA,7,5,NA
"2187","KS","Gray",NA,NA,NA,10,NA,NA
"2188","KS","Greenwood",NA,NA,NA,1,NA,NA
"2189","KS","Lincoln",NA,NA,NA,1,NA,NA
"2190","KS","Osage",NA,NA,NA,18,NA,NA
"2191","KS","Rooks",NA,NA,NA,29,NA,NA
"2192","KS","Russell",NA,NA,NA,4,1,NA
"2193","KY","Clark",NA,NA,NA,26,NA,NA
"2194","KY","Clinton",NA,NA,NA,2,NA,NA
"2195","KY","Gallatin",NA,NA,NA,12,NA,NA
"2196","KY","Green",NA,NA,NA,1,NA,NA
"2197","KY","Harlan",NA,NA,NA,14,NA,NA
"2198","KY","Harrison",NA,NA,NA,1,NA,NA
"2199","KY","Logan",NA,NA,NA,6,NA,NA
"2200","KY","Mason",NA,NA,NA,6,NA,NA
"2201","KY","Menifee",NA,NA,NA,30,NA,NA
"2202","KY","Nicholas",NA,NA,NA,1,NA,NA
"2203","LA","Evangeline",NA,NA,NA,2,NA,NA
"2204","LA","Jefferson Davis",NA,NA,NA,11,1,NA
"2205","LA","Natchitoches",NA,NA,NA,31,NA,NA
"2206","LA","Richland",NA,NA,NA,41,1,NA
"2207","LA","Washington",NA,NA,NA,1,NA,NA
"2208","LA","West Baton Rouge",NA,NA,NA,9,1,NA
"2209","LA","West Feliciana",NA,NA,NA,1,NA,NA
"2210","ME","Sagadahoc",NA,NA,NA,1,NA,NA
"2211","MI","Branch",NA,NA,NA,2,NA,NA
"2212","MI","Clare",NA,NA,NA,28,3,NA
"2213","MI","Eaton",NA,NA,NA,28,1,NA
"2214","MI","Jackson",NA,NA,NA,25,NA,NA
"2215","MI","Midland",NA,NA,NA,71,40,NA
"2216","MI","Missaukee",NA,NA,NA,36,NA,NA
"2217","MI","Montcalm",NA,NA,NA,8,NA,NA
"2218","MI","Newaygo",NA,NA,NA,25,6,NA
"2219","MI","Oceana",NA,NA,NA,1,NA,NA
"2220","MI","Ontonagon",NA,NA,NA,2,NA,NA
"2221","MI","Presque Isle",NA,NA,NA,9,9,NA
"2222","MN","Big Stone",NA,NA,NA,3,NA,NA
"2223","MN","Pine",NA,NA,NA,2,NA,NA
"2224","MN","Roseau",NA,NA,NA,1,NA,NA
"2225","MO","Atchison",NA,NA,NA,2,NA,NA
"2226","MO","Bates",NA,NA,NA,22,22,NA
"2227","MO","Cedar",NA,NA,NA,3,NA,NA
"2228","MO","Dallas",NA,NA,NA,3,1,NA
"2229","MO","Gasconade",NA,NA,NA,41,NA,NA
"2230","MO","Linn",NA,NA,NA,14,3,NA
"2231","MO","Pulaski",NA,NA,NA,1,NA,NA
"2232","MO","Ste. Genevieve",NA,NA,NA,1,NA,NA
"2233","MO","Webster",NA,NA,NA,3,2,NA
"2234","MS","Greene",NA,NA,NA,11,NA,NA
"2235","MS","Neshoba",NA,NA,NA,5,NA,NA
"2236","MS","Tate",NA,NA,NA,9,1,NA
"2237","MT","Valley",NA,NA,NA,1,NA,NA
"2238","NC","Anson",NA,NA,NA,5,NA,NA
"2239","NC","Beaufort",NA,NA,NA,24,NA,NA
"2240","NC","Craven",NA,NA,NA,22,NA,NA
"2241","NC","Graham",NA,NA,NA,4,NA,NA
"2242","NC","Macon",NA,NA,NA,7,NA,NA
"2243","NC","Martin",NA,NA,NA,2,NA,NA
"2244","NC","Onslow",NA,NA,NA,13,NA,NA
"2245","NC","Pamlico",NA,NA,NA,4,NA,NA
"2246","NC","Polk",NA,NA,NA,1,NA,NA
"2247","NC","Stanly",NA,NA,NA,3,NA,NA
"2248","NC","Washington",NA,NA,NA,14,NA,NA
"2249","ND","Bowman",NA,NA,NA,14,15,NA
"2250","ND","Burleigh",NA,NA,NA,2,3,NA
"2251","ND","Eddy",NA,NA,NA,1,NA,NA
"2252","ND","Ramsey",NA,NA,NA,3,NA,NA
"2253","NE","Adams",NA,NA,NA,11,NA,NA
"2254","NE","Brown",NA,NA,NA,1,1,NA
"2255","NE","Holt",NA,NA,NA,1,NA,NA
"2256","NE","Nuckolls",NA,NA,NA,2,NA,NA
"2257","NE","Otoe",NA,NA,NA,1,NA,NA
"2258","NE","Red Willow",NA,NA,NA,1,NA,NA
"2259","NE","Webster",NA,NA,NA,3,NA,NA
"2260","NE","York",NA,NA,NA,27,NA,NA
"2261","NM","Luna",NA,NA,NA,14,NA,NA
"2262","NV","Churchill",NA,NA,NA,1,NA,NA
"2263","NV","Humboldt",NA,NA,NA,1,NA,NA
"2264","NY","Clinton",NA,NA,NA,1,NA,NA
"2265","NY","Delaware",NA,NA,NA,2,1,NA
"2266","NY","Herkimer",NA,NA,NA,1,NA,NA
"2267","OH","Coshocton",NA,NA,NA,28,NA,NA
"2268","OH","Morrow",NA,NA,NA,25,5,NA
"2269","OH","Van Wert",NA,NA,NA,10,NA,NA
"2270","OK","Beaver",NA,NA,NA,10,NA,NA
"2271","OK","Cherokee",NA,NA,NA,31,1,NA
"2272","OK","Cotton",NA,NA,NA,12,1,NA
"2273","OK","Creek",NA,NA,NA,17,NA,NA
"2274","OK","Harper",NA,NA,NA,1,NA,NA
"2275","OK","McCurtain",NA,NA,NA,15,1,NA
"2276","OK","Nowata",NA,NA,NA,1,NA,NA
"2277","OK","Pontotoc",NA,NA,NA,4,NA,NA
"2278","OK","Pushmataha",NA,NA,NA,11,NA,NA
"2279","OR","Clatsop",NA,NA,NA,3,NA,NA
"2280","OR","Grant",NA,NA,NA,1,NA,NA
"2281","OR","Lincoln",NA,NA,NA,1,NA,NA
"2282","OR","Malheur",NA,NA,NA,1,NA,NA
"2283","PA","Wyoming",NA,NA,NA,1,NA,NA
"2284","SC","Dillon",NA,NA,NA,1,NA,NA
"2285","SC","Marlboro",NA,NA,NA,22,NA,NA
"2286","SC","Saluda",NA,NA,NA,15,NA,NA
"2287","SD","Beadle",NA,NA,NA,1,NA,NA
"2288","SD","Brown",NA,NA,NA,2,3,NA
"2289","SD","Butte",NA,NA,NA,2,NA,NA
"2290","SD","Codington",NA,NA,NA,1,NA,NA
"2291","SD","Day",NA,NA,NA,26,NA,NA
"2292","SD","Kingsbury",NA,NA,NA,1,4,NA
"2293","TN","Cannon",NA,NA,NA,6,1,NA
"2294","TN","Cumberland",NA,NA,NA,18,NA,NA
"2295","TN","Greene",NA,NA,NA,1,NA,NA
"2296","TN","Jefferson",NA,NA,NA,12,1,NA
"2297","TN","Marshall",NA,NA,NA,9,NA,NA
"2298","TN","Polk",NA,NA,NA,1,NA,NA
"2299","TN","Scott",NA,NA,NA,30,NA,NA
"2300","TN","Wayne",NA,NA,NA,4,2,NA
"2301","TN","Wilson",NA,NA,NA,5,NA,NA
"2302","TX","Blanco",NA,NA,NA,5,NA,NA
"2303","TX","Burnet",NA,NA,NA,1,1,NA
"2304","TX","Childress",NA,NA,NA,5,NA,NA
"2305","TX","Hemphill",NA,NA,NA,1,NA,NA
"2306","TX","Llano",NA,NA,NA,3,NA,NA
"2307","TX","Reagan",NA,NA,NA,1,NA,NA
"2308","TX","Rusk",NA,NA,NA,1,NA,NA
"2309","TX","Schleicher",NA,NA,NA,11,NA,NA
"2310","TX","Scurry",NA,NA,NA,2,NA,NA
"2311","VA","Bath",NA,NA,NA,6,NA,NA
"2312","VA","Bland",NA,NA,NA,1,NA,NA
"2313","VA","Buena Vista City",NA,NA,NA,8,1,NA
"2314","VA","Carroll",NA,NA,NA,3,2,NA
"2315","VA","Clarke",NA,NA,NA,10,NA,NA
"2316","VA","Dickenson",NA,NA,NA,2,2,NA
"2317","VA","Fairfax City",NA,NA,NA,6,NA,NA
"2318","VA","Giles",NA,NA,NA,2,2,NA
"2319","VA","Goochland",NA,NA,NA,38,5,NA
"2320","VA","Halifax",NA,NA,NA,13,NA,NA
"2321","VA","Hanover",NA,NA,NA,2,NA,NA
"2322","VA","Isle of Wight",NA,NA,NA,34,34,NA
"2323","VA","King William",NA,NA,NA,34,34,NA
"2324","VA","Mathews",NA,NA,NA,34,34,NA
"2325","VA","Orange",NA,NA,NA,4,NA,NA
"2326","VA","Poquoson",NA,NA,NA,11,NA,NA
"2327","VA","Pulaski",NA,NA,NA,2,1,NA
"2328","VA","Richmond",NA,NA,NA,28,28,NA
"2329","VA","Salem City",NA,NA,NA,13,10,NA
"2330","VA","Scott",NA,NA,NA,1,NA,NA
"2331","WA","Asotin",NA,NA,NA,1,NA,NA
"2332","WA","Chelan",NA,NA,NA,2,1,NA
"2333","WA","Lewis",NA,NA,NA,9,NA,NA
"2334","WI","Buffalo",NA,NA,NA,4,NA,NA
"2335","WI","Marquette",NA,NA,NA,2,NA,NA
"2336","WV","Hancock",NA,NA,NA,3,NA,NA
"2337","WV","Ohio",NA,NA,NA,3,NA,NA
"2338","WY","Converse",NA,NA,NA,9,NA,NA
"2339","WY","Weston",NA,NA,NA,20,NA,NA
"2340","AR","Cleveland",NA,NA,NA,NA,1,NA
"2341","AR","Perry",NA,NA,NA,NA,1,NA
"2342","GA","Effingham",NA,NA,NA,NA,1,NA
"2343","GA","Lumpkin",NA,NA,NA,NA,1,NA
"2344","IA","Van Buren",NA,NA,NA,NA,1,NA
"2345","IL","Jo Daviess",NA,NA,NA,NA,1,NA
"2346","KS","Gove",NA,NA,NA,NA,2,NA
"2347","KS","Ness",NA,NA,NA,NA,10,NA
"2348","KS","Riley",NA,NA,NA,NA,2,NA
"2349","KY","Caldwell",NA,NA,NA,NA,7,NA
"2350","KY","Carter",NA,NA,NA,NA,1,NA
"2351","KY","Henderson",NA,NA,NA,NA,1,NA
"2352","KY","Magoffin",NA,NA,NA,NA,1,NA
"2353","LA","St. Helena",NA,NA,NA,NA,1,NA
"2354","MN","Lake",NA,NA,NA,NA,6,NA
"2355","MO","Macon",NA,NA,NA,NA,1,NA
"2356","MS","Clay",NA,NA,NA,NA,1,NA
"2357","MS","Tunica",NA,NA,NA,NA,2,NA
"2358","MT","Powell",NA,NA,NA,NA,1,NA
"2359","MT","Stillwater",NA,NA,NA,NA,1,NA
"2360","NC","Granville",NA,NA,NA,NA,1,NA
"2361","ND","Rolette",NA,NA,NA,NA,42,NA
"2362","NV","Lincoln",NA,NA,NA,NA,1,NA
"2363","OH","Guernsey",NA,NA,NA,NA,1,NA
"2364","SC","McCormick",NA,NA,NA,NA,1,NA
"2365","TX","Clay",NA,NA,NA,NA,1,NA
"2366","TX","Hunt",NA,NA,NA,NA,1,NA
"2367","VA","Fauquier",NA,NA,NA,NA,6,NA
"2368","GA","Miller",NA,NA,NA,NA,NA,1
"2369","KY","Rockcastle",NA,NA,NA,NA,NA,1
"2370","LA","Livingston",NA,NA,NA,NA,NA,1
"2371","PR","Vega Baja",NA,NA,NA,NA,NA,1
"2372","WA","Kittitas",NA,NA,NA,NA,NA,2
